,Processor,Graphics Card,Screen Size(inch),RAM(GB),SSD(GB),link,OS,HDD(GB),brand,Normal,price EG,store
720, Laptop Ryzen 3-3200U,ryzen 3-3200u,14,8.0,2,https://www.ubuy.com.eg/en/product/3K12Y4-hp-14-touchscreen-home-and-business-laptop-ryzen-3-3200u-8gb-ram-128gb-m-2-ssd-dual-core-up-to-3-50,1,0,HP,1,8464.0,ubuy
721, Intel Core i9-11900H,geforce rtx 3060,16,32.0,2000,https://www.ubuy.com.eg/en/product/40T1GJKNE-msi-creator-z16-professional-laptop-16-qhd-16-10-120hz-touch-display-intel-core-i9-11900h-nvidia-geforce-rtx-3060-32gb-ram-2tb-nvme-ssd,1,0,MSI,1,46589.0,ubuy
722, Intel Core i5-1135G7,intel iris xe graphics,15.6,16.0,256,https://www.ubuy.com.eg/en/product/R7W60WLS-dell-latitude-5520-15-6-notebook-intel-core-i5-1135g7-16gb-ram-256gb-ssd-intel-iris-xe-graphics-wind,1,0,Dell,1,23523.0,ubuy
723,FHD IPS(1920x,intel i5-1135g7,14,16.0,512,https://www.ubuy.com.eg/en/product/48LE1J2F0-2022-lenovo-thinkpad-t14s-gen-2-slim-business-laptop-14-fhd-ips-1920x1080-intel-i7-1165g7-16gb-ram-512g-nvme-ssd-backlit-kyb-fingerprint,1,0,2022,1,30730.0,ubuy
725, Intel Core i3-8130U,intel uhd graphics 620,15.6,4.0,64,https://www.ubuy.com.eg/en/product/E6IBDAC-lenovo-chromebook-c340-laptop-15-6-fhd-1920-x-1080-display-intel-core-i3-8130u-processor-4gb-ddr4-ra,1,0,Lenovo,1,7068.0,ubuy
726, Intel Core i7-11800H,geforce rtx 3060 6gb gd,17.3,16.0,1000,https://www.ubuy.com.eg/en/product/3ZTJTU1GY-alienware-x15-r1-15-6-inch-fhd-360hz-non-touch-gaming-laptop-intel-core-i7-11800h-16gb-ddr4-ram-1tb-ssd-nvidia-geforce-rtx-3070-8gb-gddr6,1,0,Alienware,0,50391.0,ubuy
727, Intel Core i7-11800H,geforce rtx 3070 8gb gd,15.6,16.0,1000,https://www.ubuy.com.eg/en/product/3ZTJTU1GY-alienware-x15-r1-15-6-inch-fhd-360hz-non-touch-gaming-laptop-intel-core-i7-11800h-16gb-ddr4-ram-1tb-ssd-nvidia-geforce-rtx-3070-8gb-gddr6,1,0,Alienware,0,42381.0,ubuy
728,14-fq0039n,ryzen 3 3250u - amd rad,14,8.0,256,https://www.ubuy.com.eg/en/product/1P6UZWOIS-hp-14-inch-touchscreen-laptop-amd-ryzen-3-3250u-8gb-ram-256gb-ssd-windows-10-home-natural-silver-14-fq0039nr,1,0,HP,1,9408.0,ubuy
729,AMD Ryzen 7,radeon rx vega 10,13.3,12.0,256,https://www.ubuy.com.eg/en/product/4KRIYN8OI-dell-2-in-1-13-3-touch-screen-laptop-amd-ryzen-7-12gb-memory-amd-radeon-rx-vega-10-256gb-ssd-i7375-a446gry-pus,1,0,Dell,1,31.0,ubuy
730, AMD Ryzen 3 8GB,ryzen 3 8gb 256gb ,15.6,8.0,256,https://www.ubuy.com.eg/en/product/156LH092O-asus-f512darh36-vivobook-15-15-6-inch-laptop-amd-ryzen-3-8gb-256gb-ssd-slate-gray,1,0,Asus,1,9495.0,ubuy
732, Intel Core i7 11th,geforce rtx 3060 laptop,17.3,16.0,512,https://www.ubuy.com.eg/en/product/1OSOMGQO0-msi-crosshair-17-17-3-144hz-fhd-gaming-laptop-intel-core-i7-11800h-rtx3060-16gb-512gbnvme-ssd-win10-a11uek-066,1,0,MSI,1,25644.0,ubuy
733,Ryzen 7 5825U,ryzen 7 5825u,15.6,16.0,0,https://www.ubuy.com.eg/en/product/4SALSQ7IU-new-listing-lenovo-thinkpad-e15-gen-4-amd-laptop-15-6-fhd-ips-300-nits-ryzen-7-5825u,2,1000,Lenovo,1,26365.0,ubuy
734,Intel i7 11,intel i7 11th gen 16gb ,13,16.0,256,https://www.ubuy.com.eg/en/product/4XTTI1410-new-listing-microsoft-surface-pro-8-13-intel-i7-11th-gen-16gb-ddr4-256gb-ssd-tw0756,1,0,Microsoft,1,34810.0,ubuy
735, TOUCH Intel i5 10th,intel i5 10thgen 256gb ,13.3,8.0,256,https://www.ubuy.com.eg/en/product/4X3IK29P4-new-listing-new-dell-inspiron-15-6-fhd-touch-intel-i5-10thgen-256gb-ssd-8gb-ram-win11-black,2,256,NEW,1,14811.0,ubuy
736,ts i7-9750H,rtx 2060 wty,15.6,16.0,1000,https://www.ubuy.com.eg/en/product/1683Q8PNK-new-lenovo-legion-y740-15-6-fhd-144hz-500nits-i7-9750h-16gb-1tb-ssd-rtx-2060-wty,2,1000,NEW,1,30616.0,ubuy
