,Processor,Screen Size(inch),RAM(GB),Graphics Card,brand,SSD(GB),HDD(GB),link,OS,Normal,price EG,store
109,intel core i5-1135G7,14.0,8.0,انتل ايريس Xe جرافيكس,لاب,256,0,https://btech.com/en/dell-inspiron5406-i5-1135g7-256gb-8gb-gr.html,1,1,15333.0,btech
110,Intel Core i3-10110U,15.6,4.0,"NVIDIA GeForce MX130, 2GB",Lenovo,0,1000,https://btech.com/en/lenovo-ideapad-3-15ilm05-i3-10110u-1tb-4gb-blue-1631789192.html,1,1,8760.0,btech
112,intel core i3-10110U,15.6,4.0,نفيديا جي فورس MX130 بسعة 2 جيجا بايت,15IML05،,0,1000,https://btech.com/en/lenovo-laptop-mouse-logitech-mpo28-1.html,1,1,8760.0,btech
113,i5-8265U,15.6,8.0,HD Graphics,Lenovo,256,0,https://btech.com/en/lenovo-thinkpadt590-laptop-i58265u-black.html,2,1,27199.0,btech
114,intel core i3-1005G1,14.1,4.0,انتل UHD,لاب,0,1000,https://btech.com/en/hp-240-g7-1l3l4ea-laptop-intel-core-i3-1005g1-14-1-inch-1tb-hdd-4gb-ram-intel-uhd-graphics-dos-black.html,1,1,7272.0,btech
115,amd Ryzen 5-4500U,14.0,8.0,ايه ام دي راديون جرافيكس,لاب,256,0,https://btech.com/en/msi-modern14b4mw-laptop-amd-r5-4500u-14-inch.html,1,1,11511.0,btech
116,intel core i5-1135G7,15.6,8.0,انتل ايريس Xe,لاب,0,1000,https://btech.com/en/dell-vostro-3510-laptop-mp7123.html,1,1,12880.0,btech
118,Intel Core i5-1135G7,15.6,8.0,"NVIDIA GeForce MX350, 2GB GDDR5",HP,512,0,https://btech.com/en/hp-15-eg0061ne-i5-1135g7-512gb-8gb-teal.html,2,1,16199.0,btech
121,Intel Core i7-10750H,15.6,16.0,"NVIDIA GeForce RTX™ 2060 Max-Q, 6GB",Lenovo,1000,0,https://btech.com/en/lenovo-s7-15imh5-i7-10750h-1tb-16gb-dos.html,1,1,34399.0,btech
122,Intel core-i3-10110U 2.1 GHz,15.6,4.0,NVIDIA,Lenovo,0,1000,https://btech.com/en/lenovo-ideapad-laptop-intel-i3-15-6-1tb-4gb.html,1,1,9199.0,btech
123,Intel Core i7-1165G7,13.3,8.0,Intel Iris Xe Graphics,HP,512,0,https://btech.com/en/hp-envy-13m-bd0033dx-i7-13-3-512-8-win10.html,2,1,25599.0,btech
126,Intel Core i5-1035G1 - Quad Core,12.4,8.0,Intel UHD Graphics,Microsoft,128,0,https://btech.com/en/microsoft-surfacego-mp39.html,2,1,13833.0,btech
127,Intel Core i7-1165G7 2.8 GHz,14.0,8.0,Intel Iris Xe Graphics,HP,512,0,https://btech.com/en/hp-pavilion-x360-laptop-intel-14-512gb.html,1,1,18299.0,btech
128,i7-10750H,15.6,16.0,NVIDIA Geforce GTX 1660,Dell,512,0,https://btech.com/en/dell-g5-5500-i7-10750h-512-ssd-16-win-10.html,2,0,29799.0,btech
129,Microsoft SQ 2,13.0,16.0,Intel Iris Plus Graphics,Microsoft,256,0,https://btech.com/en/microsoft-surface-prox-laptop-sq2-256gb-ssd.html,2,1,40499.0,btech
130,Intel Core i5-1135G7,15.6,8.0,NVIDIA GeForce MX350 2GB,Lenovo,0,1000,https://btech.com/en/lenovo-idea-pad-3-15itl6-intel-dos-abyss-blue.html,1,1,12727.0,btech
131,AMD Ryzen5-3450U,15.6,8.0,AMD Radeon Vega 8 Graphics,Dell,256,0,https://btech.com/en/dell-inspiron-3505-amd-ryzen5-3450u-256gb-8gb-blk.html,2,1,13999.0,btech
132,Intel Core i7-1165G7,15.6,8.0,Intel iris XE,Lenovo,256,0,https://btech.com/en/lenovo-ideapad-5-laptop-intel-iris-xe-dos-grey.html,1,1,15379.0,btech
133,AMD Ryzen 3 3200U,15.6,4.0,AMD Radeon Vega 3 Graphics,Lenovo,0,1000,https://btech.com/en/lenovo-l340-15api-amd-3-3200u-1tb-blue.html,1,1,8799.0,btech
134,Intel Core i7-1165G7,15.6,8.0,NVIDIA GeForce MX450 2GB,Lenovo,0,1000,https://btech.com/en/lenovo-ideapad3-15itl6-arctic-grey-14.html,1,1,15379.0,btech
135,Intel Core i7-1165G7,14.0,16.0,Intel Iris Xe Graphics,Huawei,512,0,https://btech.com/en/huawei-14-wfe9b-i7-1165g7-512gb-16gb-gy.html,2,1,26099.0,btech
136,Intel Core-i5-1035G1 (1.0 - 3.6 GHz),14.0,8.0,Intel Iris Xe Graphics,Infinix,512,0,https://btech.com/en/infinix-inbook-x2-laptop-intel-i5-1035g1-14-512gb.html,2,1,10909.0,btech
137,Intel Core i5-1135G7,14.5,8.0,Intel Iris Xe Graphics (integrated),Dell,512,0,https://btech.com/en/dell-7400-i5-1135g7-512gb-ssd-8gb-win-10-sl.html,2,1,24899.0,btech
