,Graphics Card,Processor,Screen Size(inch),brand,HDD(GB),SSD(GB),link,RAM(GB),OS,Normal,price EG,store
2899,intel iris xe graphics ,L05 82A6001B,2.8,Visit,0.0,512.0,https://www.newegg.com/slate-grey-lenovo-ideapad-slim-7-14itl05-82a6001bus-home-personal/p/N82E16834646131,16.0,2,1,16202.388970759399,New Egg
2900,geforce rtx 3060 laptop, Intel Core i7 11th,2.3,Visit,0.0,1000.0,https://www.newegg.com/lunar-gray-msi-creator-z16-a11uet-013-creating-designing/p/N82E16834155940,32.0,2,1,34982.8282644608,New Egg
2902,geforce rtx 3050 ti, Intel Core i7-11800H,17.3,Visit,0.0,512.0,https://www.newegg.com/eclipse-gray-asus-tuf-gaming-f17-tuf706he-ds74-gaming-entertainment/p/N82E16834235898,16.0,2,0,32202.42989803121,New Egg
2903,intel iris xe graphics , Intel Core i5 11th,2.4,Visit,0.0,256.0,https://www.newegg.com/arctic-grey-lenovo-ideapad-3-15itl6-82h801dqus-home-personal/p/1TS-000E-0VG72,12.0,2,1,10991.236400396063,New Egg
2904,intel i5, PC Intel i5-6300U,14.0,Visit,500.0,0.0,https://www.newegg.com/p/1TS-000A-0K6R3,8.0,2,1,5063.3040909088,New Egg
2905,intel iris xe graphics , Intel Core i7 11th,2.8,Acer,0.0,512.0,https://www.newegg.com/acer-swift-3-sf314-511-75ux/p/N82E16834360134,16.0,2,1,15650.028524478439,New Egg
2906,radeon vega 3 graphics, Quad Core R3-3200U,15.6,Visit,0.0,128.0,https://www.newegg.com/slate-gray-asus-vivobook-f512da-db34-mainstream/p/N82E16834235255,8.0,2,1,9021.88728925568,New Egg
2907,amd radeon graphics7.30, AMD Athlon Silver 3050e,14.0,Lenovo,0.0,128.0,https://www.newegg.com/p/2WC-000J-01931,4.0,2,1,3663.8068401816076,New Egg
2908,"geforce mx450 14.0"" win", Intel Core i7 11th,2.8,Visit,0.0,512.0,https://www.newegg.com/beige-mousse-msi-modern-14-b11sb-290-mainstream/p/N82E16834155728,16.0,2,1,23503.85758999865,New Egg
2909,nan, Intel Core i3-1115G4,17.3,Visit,0.0,256.0,https://www.newegg.com/dark-gray-lenovo-ideapad-3i-mainstream/p/1TS-000E-0W9U2,12.0,2,1,10126.42406166884,New Egg
2910,geforce rtx 3060 6gb gd, AMD Ryzen 7 5800H,16.0,Visit,0.0,1000.0,https://www.newegg.com/p/1TS-000E-0WSM4,16.0,2,0,25960.75685505636,New Egg
2911,geforce rtx 3050 ti, AMD Ryzen 7 5800H,16.0,ASUS,0.0,1000.0,https://www.newegg.com/asus-vivobook-pro-m7600qe-db74/p/N82E16834236080,16.0,2,1,26697.23745009764,New Egg
2912,ryzen 5 5500u 6 cores p, AMD Ryzen 5 5500U,17.3,Visit,0.0,1000.0,https://www.newegg.com/p/1TS-000D-0UBX3,16.0,2,1,12685.878249586049,New Egg
2913,nan,AMD 3020e,15.6,Visit,0.0,256.0,https://www.newegg.com/black-hp-15s-everyday-value/p/1TS-000D-0P2E9,8.0,2,1,8653.46287158628,New Egg
