,Processor,Screen Size(inch),RAM(GB),Graphics Card,brand,SSD(GB),HDD(GB),link,OS,Normal,price EG,store
963, quadcore i58250u,17.3,16.0,intel uhd graphics 6205,visit,2000.0,0.0,https://www.newegg.com/silver-17-3-hp-laptop-everyday-value/p/1TS-000D-03HM9,1,1,29589.64376173384,new egg
964, intel xeon e31505m,15.6,16.0,quadro m2200m 4gb gpube,visit,1000.0,0.0,https://www.newegg.com/black-lenovo-p51-thinkpad-workstation/p/1TS-000E-06YS9,2,1,45771.58133104183,new egg
965, intel xeon e31535m,17.3,16.0,quadro p3000 6gb gpu,visit,256.0,0.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BN96,2,1,58902.06781585176,new egg
966,intel i77700h,17.3,8.0,intel i7,visit,512.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BRY6,2,1,50210.05563576632,new egg
968,xeon e31505m,17.3,16.0,quadro p3000 6gb,visit,1000.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BV22,2,1,63728.90862223962,new egg
969,xeon e31535m,17.3,32.0,quadro p3000 6gb,visit,1000.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BTS3,2,1,73382.59023501536,new egg
970,intel core i7,17.3,8.0,nvidia quadro m620m,visit,1000.0,0.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BKG7,2,1,40556.37402299057,new egg
971,intel core i5,17.3,32.0,intel uhd graphics 620,visit,1000.0,0.0,https://www.newegg.com/silver-17-3-hp-laptop-everyday-value/p/1TS-000D-03H39,2,1,27740.27946809864,new egg
972,intel ,15.6,16.0,geforce gt650m discrete,visit,1000.0,0.0,https://www.newegg.com/p/1TS-000E-0D793,2,0,22192.186587193035,new egg
973,intel xeon,17.3,16.0,nvidia quadro p3000,visit,512.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BTC2,2,1,59863.73724854206,new egg
974,intel xeon,15.6,64.0,nvidia quadro m2200,visit,512.0,1000.0,https://www.newegg.com/black-lenovo-p51-thinkpad-workstation/p/1TS-000E-06ZY2,2,1,56960.23530753479,new egg
975,intel xeon,17.3,32.0,nvidia quadro p3000,visit,2000.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BR47,2,1,93670.11653619351,new egg
976,intel core i7,15.6,8.0,nvidia quadro m520m,visit,256.0,0.0,https://www.newegg.com/black-lenovo-p51s-thinkpad-workstation/p/1TS-000E-0CZ14,2,1,38821.11550627266,new egg
977,intel core i7,17.3,8.0,nvidia quadro m620m,visit,500.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BRW2,2,1,49248.38620307601,new egg
979,intel ,14.0,16.0,intel hd graphics 520ul,visit,1000.0,0.0,https://www.newegg.com/p/1TS-000E-059S6,2,1,31439.008055369035,new egg
980,intel xeon,17.3,16.0,nvidia quadro p3000,visit,256.0,0.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BZ22,2,1,46344.88426206874,new egg
981,intel xeon,17.3,16.0,nvidia quadro p3000,visit,500.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BV86,2,1,68555.74942862749,new egg
982,intel core i7,15.6,16.0,nvidia quadro p1000,visit,256.0,0.0,https://www.newegg.com/black-lenovo-p52-thinkpad/p/1TS-000E-0B2M1,2,1,52891.63386153735,new egg
983,intel xeon,17.3,8.0,nvidia quadro p3000,visit,500.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BSJ6,2,1,52151.88814408327,new egg
984,intel xeon,17.3,32.0,nvidia quadro p3000,visit,256.0,0.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BPZ1,2,1,66632.41056324689,new egg
985,intel core i5,17.3,8.0,intel uhd graphics 620,visit,256.0,0.0,https://www.newegg.com/silver-17-3-hp-laptop-everyday-value/p/1TS-000D-03HE1,2,1,24966.23302764584,new egg
986,xeon e31535m,17.3,32.0,quadro p3000 6gb gpu,visit,256.0,0.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BV60,2,1,70497.58193694445,new egg
987,intel i77700h,17.3,8.0,intel i7,visit,2000.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BRZ0,2,1,72420.92080232507,new egg
988, intel xeon e31535m,17.3,16.0,quadro p4000 8gb,visit,500.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BNT1,2,1,72420.92080232507,new egg
